name	ex	ey	ez	tx	ty	tz
RAMF	-30.424200	-22.574000	8.000220	-52.950400	-29.838900	14.308500
RF	-32.835400	-32.221200	-0.363547	-51.357000	-41.597200	12.643500
RIPO	-5.327770	45.297000	-4.319080	-68.417900	25.049100	8.885000
RIPR	-43.477000	2.599040	-0.674213	-67.713100	6.127790	-0.048552
RMMF	-39.758200	-7.014610	4.570620	-63.028300	-13.007500	9.362030
RPMF	-32.487800	-0.035639	9.066220	-59.001700	0.804280	26.052400
RPOp	-49.182300	-10.216900	-11.527500	-70.871500	-13.454400	-0.603149
RPOr	-49.067500	-21.118900	-21.895900	-69.568800	-27.482900	-10.080700
RPT	-41.526400	-17.569400	-1.752480	-64.651300	-24.749600	1.981880
RPTI	-38.806200	-29.937400	-9.817100	-60.046200	-38.106600	-0.746060
RSFA	-41.232300	-11.990300	-15.053200	-33.536900	18.406800	43.900000
RSFP	-29.403200	28.062800	19.671200	-32.545700	37.009100	42.258500
RSMG	-33.842300	37.242000	-10.790600	-68.668500	40.293200	5.347480
RSPO	-30.464200	40.959600	14.452900	-49.862700	35.563500	28.415500
RSPR	-35.047200	12.208000	9.790800	-66.396600	12.140100	12.824100
